,Year,Brand,Model,Driven_Kms,Fuel_Type,Transmission_Type,Features,City,Price(L),EMI(month)
4060,2023,Maruti,New Wagon-R LXI 1.0,2428,Petrol,Manual,Regularly Serviced,Gurgaon,5.80,"11,347"
4061,2021,MG,HECTOR SHARP HYBRID 1.5 PETROL,20387,Petrol,Manual,Top Model,Gurgaon,15.42,"29,351"
4062,2023,Maruti,New Wagon-R LXI 1.0,3962,Petrol,Manual,Regularly Serviced,Gurgaon,5.68,"11,105"
4063,2019,Hyundai,NEW SANTRO SPORTZ MT,15065,Petrol,Manual,Regularly Serviced,Gurgaon,4.74,"9,267"
4064,2021,Maruti,Swift VXI AMT,11386,Petrol,Automatic,Regularly Serviced,Gurgaon,6.75,"13,196"
4065,2020,Maruti,Baleno DELTA PETROL 1.2,52747,Petrol,Manual,Safety Specs.,Gurgaon,5.61,"10,975"
4066,2016,Hyundai,Creta E PLUS 1.6 PETROL,66040,Petrol,Manual,100% Tyre Life,Gurgaon,7.39,"14,448"
4067,2018,Skoda,Rapid STYLE 1.6 MPI AT,69911,Petrol,Automatic,Top Model,Gurgaon,8.06,"15,345"
4068,2015,Honda,City 1.5L I-VTEC V MT,65113,Petrol,Manual,Alloy Wheels,Gurgaon,5.31,"10,381"
4069,2019,Maruti,S PRESSO VXI,54923,Petrol,Manual,Regularly Serviced,Gurgaon,3.61,"7,063"
4070,2018,Honda,Amaze 1.2L I-VTEC S,75552,Petrol,Manual,Regularly Serviced,Gurgaon,5.44,"10,635"
4071,2020,Hyundai,VENUE SX 1.0 TURBO,24972,Petrol,Manual,Top Model,Gurgaon,9.03,"17,188"
4072,2021,Nissan,MAGNITE XV TURBO,9278,Petrol,Manual,Top Model,Gurgaon,7.05,"13,783"
4073,2021,Honda,Amaze 1.2L I-VTEC S CVT,43188,Petrol,Automatic,Spl. Reg. No.,Gurgaon,7.03,"13,744"
4074,2017,Hyundai,Elite i20 SPORTZ 1.2,64237,Petrol,Manual,100% Tyre Life,Gurgaon,5.14,"10,049"
4075,2015,Honda,City 1.5L I-VTEC V MT,64944,Petrol,Manual,Alloy Wheels,Gurgaon,5.23,"10,217"
4076,2017,Hyundai,Xcent E+,51041,Petrol,Manual,Regularly Serviced,Gurgaon,4.22,"8,250"
4077,2015,Maruti,Baleno DELTA PETROL 1.2,68675,Petrol,Manual,Safety Specs.,Gurgaon,4.23,"8,270"
